TABLE_NAME	NUM_ROWS
INVENTORY_LINE_PALLET_AUDIT	
LOT_AUDIT	0
LOT_AUDIT_ERROR_LINES	0
ORDER_AUDIT	0
ORDER_AUDIT_ERROR_LINES	0
ORDER_MOV_HIST	0
PLACE_AUDIT	0
PLACE_AUDIT_ERROR_LINES	0
Q1	0
RIGHTS	65
RRL_ADDR	272
RRL_ALARMS	0
RRL_ARTICUL_MODS	609
RRL_ARTICULS	5328
RRL_BILL_COMPANY	21
RRL_BILLING	0
RRL_BILLING_NASTR_INTMOV	1
RRL_BILL_ORDERS	0
RRL_CELLS	28641
RRL_CELLS_CONDITIONS_MAPPING	0
RRL_COMPL_RESERVE	274458
RRL_COMPL_SEQ	0
RRL_CONSTANTS	3
RRL_CROSS_DOCKING_ZONES	0
RRL_ERROR_LOG	0
RRL_EVENTS	3004
RRL_HISTORY_NOTES	0
RRL_INVENTARIZ_LINES	0
RRL_INVETARIZ	1
RRL_LOGIN_HISTORY	19
RRL_OBJECT	0
RRL_ORDER_PALLET_ROWS	0
RRL_ORDER_ROWS	725578
RRL_ORDERS	20151
RRL_ORDERS_PALL_VERSIONS	
RRL_OTHOD_NAKLAD	7
RRL_OTHOD_NAKLAD_ROWS	234
RRL_PALLETS	758336
RRL_PRIHOD_NAKLAD	38
RRL_PRIHOD_NAKLAD_ROWS	86
RRL_PRINTFORMS	0
RRL_REMAINS	3802
RRL_REMAIN_SNAPSHOT	0
RRL_REMAIN_SNAPSHOT_ROWS	0
RRL_REVISION_ROW	0
RRL_REVIZION	0
RRL_SBORKA_PALLET_ROWS	379194
RRL_SBORKA_PALLETS	379194
RRL_SBORKA_PALLETS_COND	0
RRL_SBORKA_PALLETS_HISTORY	0
RRL_SBORKA_PALL_ROWS_PARTS	0
RRL_SUMMARY_PICK_LIST	0
RRL_SUMMARY_PICK_LIST_ROWS	0
RRL_TOVARO_NOSITEL	0
RRL_TRANSPORT_PRICE	0
RRL_TRANSPORT_TASK	30256
RRL_TRANSPORT_TASK_HISTORY	0
RRL_TRANSPORT_TYPE	9
RRL_TR_VEHICLE	1323
RRL_TR_VODITEL	1851
RRL_TR_VODITEL_EXT	0
RRL_TT_BILL_PRICE_KM	0
RRL_TT_DOCK	18
RRL_TT_GLOBAL_MESS	1
RRL_TT_LOAD_TASK	0
RRL_TT_PATH	0
RRL_TT_ZONES	774
RRL_TYPE_PALL	5
RRL_VERSIONS	1
RRL_WARE_DISTR_TIME_PARAM	8
RRL_WARE_MASKS	10
RRL_WARES	11
RRL_WARE_TRACKS	0
RRL_WT	0
RUSERS	923
SFERA_EAN	0
TMP_ORDERS_PALL_VERSIONS	
TMP_PALLET_ROWS	
USER_GROUP	1
